Date,Open,High,Low,Close,Adj Close,Volume
1994-01-17,17.561781,17.561781,17.222969,17.335905,9.180888,63088
1994-01-18,17.448845,17.957064,17.392376,17.844126,9.450038,803099
1994-01-19,17.957064,18.182938,17.844126,18.013531,9.539749,250581
1994-01-20,17.957064,17.957064,17.731188,17.844126,9.450038,111787
1994-01-21,18.126469,18.182938,17.731188,17.731188,9.390227,417045
1994-01-24,17.731188,17.731188,17.505314,17.731188,9.390227,166685
1994-01-25,17.731188,17.844126,17.561781,17.731188,9.390227,161815
1994-01-26,17.618250,17.844126,17.561781,17.618250,9.330418,138572
1994-01-27,17.618250,17.618250,17.335905,17.392376,9.210795,161372
1994-01-28,17.505314,17.505314,17.335905,17.448845,9.240701,112673
1994-01-31,17.448845,17.561781,17.279438,17.561781,9.300509,79026
1994-02-01,17.561781,18.013531,17.392376,18.013531,9.539749,284671
1994-02-02,17.787657,17.787657,17.561781,17.731188,9.390227,190371
1994-02-03,17.618250,18.126469,17.561781,18.126469,9.599562,172441
1994-02-04,18.013531,18.013531,17.505314,17.618250,9.330418,146763
1994-02-07,17.505314,17.618250,17.392376,17.448845,9.240701,166242
1994-02-08,17.392376,17.505314,17.335905,17.392376,9.210795,121970
1994-02-09,17.335905,17.505314,17.335905,17.392376,9.210795,375208
1994-02-10,17.448845,17.561781,17.222969,17.279438,9.150985,170227
1994-02-11,17.279438,17.448845,17.222969,17.392376,9.210795,99170
1994-02-14,17.279438,17.561781,17.222969,17.505314,9.270604,110017
1994-02-15,17.505314,17.787657,17.505314,17.731188,9.390227,110238
1994-02-16,17.731188,18.070000,17.731188,18.013531,9.539749,192584
1994-02-17,18.013531,18.239407,18.013531,18.182938,9.629466,400443
1994-02-18,18.239407,18.295876,17.957064,18.070000,9.569651,204759
1994-02-22,18.013531,18.013531,17.900595,18.013531,9.636111,216491
1994-02-23,18.013531,18.070000,17.844126,17.900595,9.575698,546541
1994-02-24,17.844126,17.957064,17.674719,17.787657,9.515283,253016
1994-02-25,17.844126,18.070000,17.674719,18.070000,9.666316,195905
1994-02-28,18.070000,18.239407,17.844126,18.182938,9.726732,83011
1994-03-01,18.295876,18.295876,17.957064,18.013531,9.636111,81904
1994-03-02,17.900595,17.957064,17.787657,17.900595,9.575698,222247
